cnpj;cnpj_basico;matriz_filial;razao_social;nome_fantasia;situacao_cadastral;data_situacao_cadastral;motivo_situacao_cadastral;nome_cidade_exterior;cd_pais;nm_pais;cd_natureza_juridica;nm_natureza_juridica;data_inicio_atividades;cnae_fiscal;nm_cnae;cnae_fiscal_secundaria;tipo_logradouro;logradouro;numero;complemento;bairro;cep;uf;municipio;ddd1;telefone1;ddd2;telefone2;ddd_fax;fax;correio_eletronico;situacao_especial;data_situacao_especial;qualificacao_responsavel;capital_social;capital_social_str;porte_empresa;ente_federativo_responsavel
03591552000100;03591552;1;COMPTUR - COMPLEXO DE TURISMO EIRELI;COMPLEXO PITE TURISMO E LAZER;02;20190506;00;;;;2305;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);20000112;9312300;Clubes sociais, esportivos e similares;7721700,8230002,9319199,9329899;RODOVIA;GO-060;S/N;KM    04;CHACARAS MARINGA;74461005;GO;9373;62;32710233;;;;;;;;65;150000;150000,00;01;
03592278000193;03592278;1;CLUBE DO CHURRASQUEIRO;;02;0;00;;;;3999;Associação Privada;20000114;9312300;Clubes sociais, esportivos e similares;;RUA;DOS GOITACAZES;43;"SALA: 201;";CENTRO;30190050;MG;4123;31;32015244;;;31;34715180;GERDAMECONTABIL@HOTMAIL.COM;;;16;0;0,00;05;
03600766000103;03600766;1;CLUBE DA COMUNIDADE ALVORADA CONJUNTO PADRE MANOEL DA NOBREGA;;02;20190208;00;;;;3999;Associação Privada;19991110;9312300;Clubes sociais, esportivos e similares;;AVENIDA;PADRE ESTANISLAU DE CAMPOS;430;;ARTUR ALVIM;03590060;SP;7107;;;;;;;;;;16;0;0,00;05;
03610160000140;03610160;1;CENTRO DE TRADICOES GAUCHAS TROPEIRO SERRANO;CTG TROPEIRO SERRANO;02;20081231;00;;;;3999;Associação Privada;19990908;9312300;Clubes sociais, esportivos e similares;;AVENIDA;ASSIS BRASIL;S/N;;VAL DE SERRA;98130000;RS;8725;;;;;;;;;;16;0;0,00;05;
03617258000120;03617258;1;VALDIR LUCIO RODRIGUES;;02;20051103;00;;;;2135;Empresário (Individual);20000127;9312300;Clubes sociais, esportivos e similares;4723700,5510801,5611201,5611204,5620102,8230001,8230002;CORREGO;FORTALEZA;SN;;ZONA RURAL;36923000;MG;0644;33;33313089;33;33312817;33;33312817;SAC@NACONTA.COM;;;50;0;0,00;01;
03623151000194;03623151;1;CLUBE ATLETICO BRASILIENSE S/C LTDA;ATLETICO BRASILIENSE;08;20150406;15;;;;2240;Sociedade Simples Limitada;20000201;9312300;Clubes sociais, esportivos e similares;;;SRT/SUL QD 701 CJ L BL.02 ED.ASSIS CHATE;LJ 36;1 SUBSOLO;ASA SUL;70340000;DF;9701;;;;;;;;;;49;0;0,00;01;
03633799000141;03633799;1;UNIVERSITARIO CURSOS ESPECIAIS LTDA;UNIVERSITARIO CURSOS ESPECIAIS;08;20081231;71;;;;2062;Sociedade Empresária Limitada;19871217;9312300;Clubes sociais, esportivos e similares;;;SHCGN C R QD 702/703 BL C;SN;LJS 6 E 13 TER S/LOJA;ASA NORTE;70310500;DF;9701;;;;;;;;;;49;0;0,00;05;
03633799000222;03633799;2;UNIVERSITARIO CURSOS ESPECIAIS LTDA;UNIVERSITARIO CURSOS ESPECIAIS;08;20081231;71;;;;2062;Sociedade Empresária Limitada;19930512;8593700;Ensino de idiomas;;QUADRA;12 CL 01;SN;LOJA 01 SUBSOLO;SOBRADINHO;73070043;DF;9701;;;;;;;;;;49;0;0,00;05;
03633799000303;03633799;2;UNIVERSITARIO CURSOS ESPECIAIS LTDA;UNIVERSITARIO CURSOS ESPECIAIS;08;20081231;71;;;;2062;Sociedade Empresária Limitada;19970422;8513900;Ensino fundamental;;;CSA 01 LOTE 07 TERREO LOJA;01;SUBSOLO - SALAO;TAGUATINGA;72015015;DF;9701;;;;;;;;;;49;0;0,00;05;
03636958000161;03636958;1;CLUBE SETOR LESTE;;04;20181017;63;;;;3999;Associação Privada;19880324;9312300;Clubes sociais, esportivos e similares;;;SGA/SUL QUADRA 612 CONJ E/PARTE SALA 20;S/N;;ASA SUL;70200720;DF;9701;061;3452063;;;061;3452064;;;;16;0;0,00;05;
03649245000132;03649245;1;SANTOS FUTEBOL CLUBE;;04;20180406;63;;;;3999;Associação Privada;20000215;9312300;Clubes sociais, esportivos e similares;;RUA;SANTO AMARO;72;;AMARANTINA;35412000;MG;4921;;;;;;;;;;16;0;0,00;05;
03653037000107;03653037;1;ASSOCIACAO METROPOLITANA DE KENDO;;02;20200130;00;;;;3999;Associação Privada;19880722;9312300;Clubes sociais, esportivos e similares;;;LOC  SETOR DE CLUBES SUL;S/N;LOTE 1 TRECHO 1;PLANO PILOTO;70310500;DF;9701;;;;;;;;;;16;0;0,00;05;
03657244000130;03657244;1;ASSOCIACAO RECREATIVA DOS CORREIOS;ARCO;02;20051103;00;;;;3999;Associação Privada;19890110;9312300;Clubes sociais, esportivos e similares;;SETOR;SBN QUADRA 2;702;SALA                      ANDAR 7                   EDIF  CENTRAL BRASILIA    BLOCO H;ASA NORTE;70040020;DF;9701;61;33260012;;;;;KLEBER@PLANUSCONTABILIDADE.COM;;;16;0;0,00;05;
03657244000210;03657244;2;ASSOCIACAO RECREATIVA DOS CORREIOS;ARCO;02;19980728;00;;;;3999;Associação Privada;19890622;9312300;Clubes sociais, esportivos e similares;;AVENIDA;CONSTANTINO NERY;1272;;SAO GERALDO;69058795;AM;0255;;;;;;;;;;16;0;0,00;05;
03657244000300;03657244;2;ASSOCIACAO RECREATIVA DOS CORREIOS;ARCO;02;19980728;00;;;;3999;Associação Privada;19890905;9312300;Clubes sociais, esportivos e similares;;RUA;MIGUEL PALMEIRA;814;CAIXA POSTAL 482;PINHEIRO;57055330;AL;2785;;;;;;;;;;16;0;0,00;05;
03657244000482;03657244;2;ASSOCIACAO RECREATIVA DOS CORREIOS;ARCO-PERNAMBUCO;02;19980728;00;;;;3999;Associação Privada;19890906;9312300;Clubes sociais, esportivos e similares;;AVENIDA;ABDIAS DE CARVALHO;1120;;BONJI;50830000;PE;2531;;;;;;;;;;16;0;0,00;05;
03657244000563;03657244;2;ASSOCIACAO RECREATIVA DOS CORREIOS;ARCO-PARA;02;19980728;00;;;;3999;Associação Privada;19890906;9319101;Produção e promoção de eventos esportivos;9319199;AVENIDA;PEDRO ALVARES CABRAL;1240;;SOUZA;66613150;PA;0427;91;32224728;;;;;SINCORT_PA@OUTLOOK.COM.BR;;;16;0;0,00;05;
03657244000644;03657244;2;ASSOCIACAO RECREATIVA DOS CORREIOS;ARCO-MG;02;19980728;00;;;;3999;Associação Privada;19890906;9319199;Outras atividades esportivas não especificadas anteriormente;;RODOVIA;ANEL RODOVIARIO;0;KM 21,5;UNIVERSITARIO;31950640;MG;4123;31;34978330;;;;;;;;16;0;0,00;05;
03657244000725;03657244;2;ASSOCIACAO RECREATIVA DOS CORREIOS;ARCO;02;19980728;00;;;;3999;Associação Privada;19890912;9312300;Clubes sociais, esportivos e similares;;RUA;N SRA ROSARIO;130;;ESTREITO;88045108;SC;8105;;;;;;;;;;16;0;0,00;05;
03657244000806;03657244;2;ASSOCIACAO RECREATIVA DOS CORREIOS;ARCO-RS;02;20021228;00;;;;3999;Associação Privada;19890913;9319199;Outras atividades esportivas não especificadas anteriormente;;RUA;SIQUEIRA CAMPOS;1100;2 ANDAR;CENTRO;90002900;RS;8801;;;;;;;;;;16;0;0,00;05;
03657244000997;03657244;2;ASSOCIACAO RECREATIVA DOS CORREIOS;ARCO ES;02;19980728;00;;;;3999;Associação Privada;19890913;9312300;Clubes sociais, esportivos e similares;;AVENIDA;BEIRA-MAR;SN;;PRAINHA;29123600;ES;5703;;;;;;;;;;16;0;0,00;05;
03657244001020;03657244;2;ASSOCIACAO RECREATIVA DOS CORREIOS;ARCO-GO;02;20031004;00;;;;3999;Associação Privada;19890913;9319199;Outras atividades esportivas não especificadas anteriormente;;PRACA;CIVICA 11;S/N;1 ANDAR;CENTRO;74465539;GO;9373;;;;;;;;;;16;0;0,00;05;
03657244001101;03657244;2;ASSOCIACAO RECREATIVA DOS CORREIOS;ARCO-BRU;02;20020720;00;;;;3999;Associação Privada;19890913;9312300;Clubes sociais, esportivos e similares;;PRACA;DOM PEDRO II;4 55;3 ANDAR GAB DF;CENTRO;17015230;SP;6219;;;;;;;;;;16;0;0,00;05;
03657244001292;03657244;2;ASSOCIACAO RECREATIVA DOS CORREIOS;ARCO-RPO;02;19980728;00;;;;3999;Associação Privada;19890913;9312300;Clubes sociais, esportivos e similares;;CONDOMINIO;JD PALMEIRAS GLEBA A;15 A;;JD DAS PALMEIRAS;14030549;SP;6969;;;;;;;;;;16;0;0,00;05;
03657244001373;03657244;2;ASSOCIACAO RECREATIVA DOS CORREIOS;ARCO;02;19980728;00;;;;3999;Associação Privada;19890913;9312300;Clubes sociais, esportivos e similares;;RUA;JOAO PINHEIRO;241;;BOA VISTA;38010040;MG;5401;;;;;;;;;;16;0;0,00;05;
03657244001454;03657244;2;ASSOCIACAO RECREATIVA DOS CORREIOS;ARCO-MA;02;19980728;00;;;;3999;Associação Privada;19890913;9312300;Clubes sociais, esportivos e similares;;PRACA;JOAO LISBOA;292;4 402;CENTRO;65002900;MA;0921;;;;;;;;;;16;0;0,00;05;
03657244001535;03657244;2;ASSOCIACAO RECREATIVA DOS CORREIOS;ARCO-RN;02;19980728;00;;;;3999;Associação Privada;19890913;9312300;Clubes sociais, esportivos e similares;;AVENIDA;HILDEBRANDO DE GOIS;221;;RIBEIRA;59037155;RN;1761;;;;;;;;;;16;0;0,00;05;
03657244001616;03657244;2;ASSOCIACAO RECREATIVA DOS CORREIOS;ARCO-RJ;02;19980728;00;;;;3999;Associação Privada;19890913;9312300;Clubes sociais, esportivos e similares;;RUA;AFONSO CAVALCANTE;22;TERREO;CIDADE NOVA;20211110;RJ;6001;;;;;;;;;;16;0;0,00;05;
03657244001705;03657244;2;ASSOCIACAO RECREATIVA DOS CORREIOS;ARCO-MS;02;19980728;00;;;;3999;Associação Privada;19890913;9312300;Clubes sociais, esportivos e similares;;AVENIDA;CORONEL ANTONIO;2670;;VILA TRIANGULO;79023000;MS;9051;;;;;;;;;;16;0;0,00;05;
03657244001888;03657244;2;ASSOCIACAO RECREATIVA DOS CORREIOS;ARCO PB;02;19980728;00;;;;3999;Associação Privada;19891006;9312300;Clubes sociais, esportivos e similares;;AVENIDA;CABO BRANCO;2834;;CABO BRANCO;58045010;PB;2051;;;;;;;;;;16;0;0,00;05;
03657244001969;03657244;2;ASSOCIACAO RECREATIVA DOS CORREIOS;ARCO BA;08;19950717;01;;;;3999;Associação Privada;19891006;9312300;Clubes sociais, esportivos e similares;;AVENIDA;PAULO VI;190;4 ANDAR;PITUBA;41810280;BA;3849;;;;;;;;;;16;0;0,00;05;
03657244002000;03657244;2;ASSOCIACAO RECREATIVA DOS CORREIOS;ARCO;02;19980728;00;;;;3999;Associação Privada;19891006;9312300;Clubes sociais, esportivos e similares;;AVENIDA;PRESIDENTE DUTRA;2701;;CENTRO;78902900;RO;0003;;;;;;;;;;16;0;0,00;05;
03657244002183;03657244;2;ASSOCIACAO RECREATIVA DOS CORREIOS;ARCO CE;02;19980728;00;;;;3999;Associação Privada;19891006;9312300;Clubes sociais, esportivos e similares;;RUA;TOMAS EDSON;309;;SERRINHA;60191070;CE;1389;;;;;;;;;;16;0;0,00;05;
03657244002264;03657244;2;ASSOCIACAO RECREATIVA DOS CORREIOS;ARCO-SP;02;20011215;00;;;;3999;Associação Privada;19891106;9319199;Outras atividades esportivas não especificadas anteriormente;;RUA;MERGENTHALER;500;BL 1 SALA 1 1 ANDAR;VILA LEOPOLDINA;05311030;SP;7107;;;;;;;;;;16;0;0,00;05;
03657244002345;03657244;2;ASSOCIACAO RECREATIVA DOS CORREIOS;ARCO JFA;02;19980728;00;;;;3999;Associação Privada;19891123;9312300;Clubes sociais, esportivos e similares;;RUA;ESPIRITO SANTO;497;;CENTRO;36010040;MG;4733;;;;;;;;;;16;0;0,00;05;
03657244002426;03657244;2;ASSOCIACAO RECREATIVA DOS CORREIOS;ARCO SMA;02;19980728;00;;;;3999;Associação Privada;19891123;9312300;Clubes sociais, esportivos e similares;;RUA;VENANCIO AIRES;1742;;CENTRO;97010002;RS;8841;;;;;;;;;;16;0;0,00;05;
03657244002507;03657244;2;ASSOCIACAO RECREATIVA DOS CORREIOS;ARCO PR;02;19980728;00;;;;3999;Associação Privada;19891123;9312300;Clubes sociais, esportivos e similares;;RUA;JOSE LOUREIRO;540;1 ANDAR;CENTRO;80002900;PR;7535;;;;;;;;;;16;0;0,00;05;
03657244002698;03657244;2;ASSOCIACAO RECREATIVA DOS CORREIOS;ARCO;02;19980728;00;;;;3999;Associação Privada;19891228;9312300;Clubes sociais, esportivos e similares;;RUA;PRUDENTE DE MORAES;3057;PRIMEIRO ANDAR;CENTRO;15010100;SP;7097;;;;;;;;;;16;0;0,00;05;
03657244002779;03657244;2;ASSOCIACAO RECREATIVA DOS CORREIOS;ARCO;02;19980728;00;;;;3999;Associação Privada;19891228;9312300;Clubes sociais, esportivos e similares;;AVENIDA;ANTONIO FREIRE;1407;;CENTRO;64002900;PI;1219;;;;;;;;;;16;0;0,00;05;
03657244002850;03657244;2;ASSOCIACAO RECREATIVA DOS CORREIOS;ARCO SE;02;19980728;00;;;;3999;Associação Privada;19900208;9312300;Clubes sociais, esportivos e similares;;AVENIDA;GONCALO ROLEMBERG LEITE;1600;;SUISSA;49050370;SE;3105;;;;;;;;;;16;0;0,00;05;
03657244002930;03657244;2;ASSOCIACAO RECREATIVA DOS CORREIOS;ARCO;02;20031004;00;;;;3999;Associação Privada;19900209;9312300;Clubes sociais, esportivos e similares;;AVENIDA;DOM ORLANDO CHAVES;SN;;CRISTO REI;78020901;MT;9067;;;;;;;;;;16;0;0,00;05;
03658390000180;03658390;1;ASSOCIACAO PORTUGUESA DE BRASILIA;;02;19980728;00;;;;3999;Associação Privada;19890414;9312300;Clubes sociais, esportivos e similares;;;QS 05 RUA;312;LOTE 14;AGUAS CLARAS;70310500;DF;9701;61;33561441;;;61;33561441;PORTUGUESA.DF@TERRA.COM.BR;;;16;0;0,00;05;
03662576000102;03662576;1;SOCIEDADE IMPERATRIZ DE DESPORTOS;CAVALO DE ACO;02;20190128;00;;;;3999;Associação Privada;20000225;9312300;Clubes sociais, esportivos e similares;;AVENIDA;DORGIVAL PINHEIRO DE SOUSA;S/N;;CENTRO;65910140;MA;0803;;;;;;;;;;16;0;0,00;05;
03665480000106;03665480;1;CLUBE DESPORTIVO DE CANINDE DE SAO FRANCISCO LTDA;CLUBE DESPORTIVO DE CANINDE DE SAO FRANCISCO;02;20190913;00;;;;2062;Sociedade Empresária Limitada;20000224;9312300;Clubes sociais, esportivos e similares;9319101,8591100;AVENIDA;GOV. ANTONIO CARLOS VALADARES;406 -;A;TORRE;49820000;SE;3123;;;;;;;;;;49;50000;50000,00;01;
03665480000289;03665480;2;CLUBE DESPORTIVO DE CANINDE DE SAO FRANCISCO LTDA;CLUBE DESPORTIVO DE CANINDE DE SAO FRANCISCO - GARARU;02;20190913;00;;;;2062;Sociedade Empresária Limitada;20060719;9312300;Clubes sociais, esportivos e similares;9319101,8591100;RUA;DO CAMPO;145;SALAO;CENTRO;49830000;SE;3149;79;99670959;79;91362775;;;;;;49;50000;50000,00;01;
03666824000193;03666824;1;CLUBE ATLETICO CATARINENSE LTDA;CLUBE ATLETICO CATARINENSE;04;20180906;63;;;;2062;Sociedade Empresária Limitada;20000228;9312300;Clubes sociais, esportivos e similares;;RUA;JOSE GERALDINO BITTENCOURT;S/N;;PEDRA DE AMOLAR;88320000;SC;8139;;;;;;;;;;49;0;0,00;01;
03671560000166;03671560;1;ASSOCIACAO RECREATIVA DOS AMIGOS DO RANCHO DO JACUI;ASSOCIACAO RECREATIVA DOS AMIGOS DO RANCHO DO JACUI;02;20181203;00;;;;3999;Associação Privada;20000127;9312300;Clubes sociais, esportivos e similares;;;PASSO DA BARCA DO RIO JACUI;S/N;TERREO;VILA JACUI;97200000;RS;8813;55;2217710;;;;;;;;16;0;0,00;05;
03680521000125;03680521;1;CLUBE DESPORTIVO MUNICIPAL SAO PAULO GIANTS;SAO PAULO GIANTS;04;20181010;63;;;;3999;Associação Privada;19980417;9312300;Clubes sociais, esportivos e similares;;AVENIDA;DOUTOR ABRAHAO RIBEIRO;497;;BARRA FUNDA;01133020;SP;7107;011;8250344;;;011;8250344;contabil@assessorial.com.br;;;16;0;0,00;05;
03689429000126;03689429;1;SOCIEDADE ESPORTIVA E RECREATIVA JUVENTUDE;JUVENTUDE;04;20180918;63;;;;3999;Associação Privada;19820715;9312300;Clubes sociais, esportivos e similares;;RODOVIA;BR 070;SN;KM 150;DIST PRIMAVERA;78800000;MT;9139;;;;;;;;;;16;0;0,00;05;
03728092000119;03728092;1;ASSOCIACAO CLUB ESPORTIVO BAYERN DE REDENCAO;A.C.E.B.;02;20000327;00;;;;3999;Associação Privada;20000327;9312300;Clubes sociais, esportivos e similares;;RUA;SANTOS DUMONT,;S/N;;CENTRO;62790000;CE;1533;085;3321344;;;;;;;;16;0;0,00;05;
03755188000176;03755188;1;CACERES ESPORTE CLUBE;CACERES ESPORTE CLUBE;02;20190508;00;;;;3999;Associação Privada;19770207;9312300;Clubes sociais, esportivos e similares;;AVENIDA;SAO LUIS;516;;;78200000;MT;9047;;;;;;;;;;16;0;0,00;05;
03781616000135;03781616;1;SAO VICENTE ATLETICO CLUBE;;02;20051103;00;;;;3999;Associação Privada;19390411;9312300;Clubes sociais, esportivos e similares;9311500;RUA;MARQUES DE SAO VICENTE;539;;PARQUE BITARU;11310180;SP;7121;13;34674666;;;;;contabilidade.orlla@ig.com.br;;;16;0;0,00;05;
03782059000177;03782059;1;ANAPOLIS FUTEBOL CLUBE;;02;20071023;00;;;;3999;Associação Privada;19871105;9312300;Clubes sociais, esportivos e similares;;AVENIDA;INGLATERRA;1965;;BOA VISTA;75083180;GO;9221;62;33188992;;;;;;;;16;0;0,00;05;
03783575000116;03783575;1;MAK PARK EMPREENDIMENTOS TURISTICOS LTDA;AQUAMAK;02;20051103;00;;;;2062;Sociedade Empresária Limitada;20000428;9329899;Outras atividades de recreação e lazer não especificadas anteriormente;5590699,5611201,9312300,9319101,8591100,7721700,8230001,4781400,4789001,4763601,4763602,4763604,4721104,4789099,4782201,4763605,4774100,4929903,4929901,4929902,4923002,7711000,4712100,4711302,4711301,5510801;RODOVIA;BR-174 KM 27;S/N;FAZENDA SERRA;ZONA RURAL;69301160;RR;0301;95;36245050;;;;;mr.contabil@yahoo.com.br;;;49;32000;32000,00;01;
03784980000159;03784980;1;ASSOCIACAO ATLETICA BANCO DO BRASIL;AABB;02;19980728;00;;;;3999;Associação Privada;19771019;9312300;Clubes sociais, esportivos e similares;;PRACA;SENADOR FILINTO MULLER;151;;CENTRO;79950000;MS;9113;;;;;;;;;;16;0;0,00;05;
03787496000183;03787496;1;CUIABA TENIS CLUBE;;02;20051103;00;;;;3999;Associação Privada;19770413;9312300;Clubes sociais, esportivos e similares;;RUA;TRINIDAD TOBAGO;375;;JARDIM CALIFORNIA;78070290;MT;9067;65;36343308;65;92143591;;;AXIALCONTABIL@HOTMAIL.COM;;;16;0;0,00;05;
03787728000101;03787728;1;ASSOCIACAO ATLETICA BANCO DO BRASIL;AABB;02;20051103;00;;;;3999;Associação Privada;19770420;9312300;Clubes sociais, esportivos e similares;;AVENIDA;JOSINO PRADO;482;;JARDIM ELITE;78390000;MT;9033;65;33611358;65;99873454;65;33611358;BARRADOBUGRES@AABB.COM.BR;;;16;0;0,00;05;
03788601000107;03788601;1;SANTO ANTONIO DO LEVERGER COUNTRY CLUBE;SANTO ANTONIO COUNTRY CLUBE;04;20181018;63;;;;3999;Associação Privada;19770511;9312300;Clubes sociais, esportivos e similares;;RODOVIA;CUIABA/ SANTO ANT. DO LEVERGER;S/N;KM 18;ZONA RURAL;78180000;MT;9155;;;;;;;;;;16;0;0,00;05;
03804287000109;03804287;1;MARACATU DE BAQUE SOLTO PINGUIM;;02;20180922;00;;;;3999;Associação Privada;20000510;9312300;Clubes sociais, esportivos e similares;;RUA;12;S/N;;NOVA ARACOIABA;53690000;PE;0544;;;;;;;;;;16;0;0,00;05;
03821642000140;03821642;1;ESPORTE CLUBE TAVEIROPOLIS;E C TAVEIROPOLIS;02;20210427;00;;;;3999;Associação Privada;19771004;9312300;Clubes sociais, esportivos e similares;;AVENIDA;MATO GROSSO;3566;;SANTA FE;79021151;MS;9051;;;;;;;;;;16;0;0,00;05;
03822791000123;03822791;1;TEAM ATIVIDADES FISICAS E ESPORTIVAS LTDA;;08;20170712;01;;;;2062;Sociedade Empresária Limitada;20000519;9312300;Clubes sociais, esportivos e similares;;RUA;EXPEDICIONARIO CELSO RACIOPPI;185;SALAO B;SAO LUIZ;31310030;MG;4123;;;;;;;;;;49;0;0,00;01;
03842844000178;03842844;1;CETAF-CENTRO DE TREINAMENTO ARREMESSANDO PARA O FUTURO LTDA;CETAF;02;20051103;00;;;;2062;Sociedade Empresária Limitada;20000529;8591100;Ensino de esportes;9311500,9312300,9319199,4763602,5611203;RUA;HUMAITA;12;;DIVINO ESPIRITO SANTO;29107150;ES;5703;27;33291690;;;027;2890954;ORGATEXCONTABIL@HOTMAIL.COM;;;49;0;0,00;01;
03847352000175;03847352;1;LCC CONSTRUCOES E PARTICIPACOES S/A;LCC CONSTRUTORA;08;20100727;02;;;;2054;Sociedade Anônima Fechada;20000602;4120400;Construção de edifícios;4299501;SETOR;SRTVS QUADRA 701, CONJUNTO L, BLOCO 01;SN;SALA  508 (PARTE A);ASA SUL;70340000;DF;9701;61;32488705;61;32488714;61;32488793;;;;16;150000;150000,00;05;
03865938000162;03865938;1;BIG LAR ATLETICO CLUBE;BLAC;04;20180925;63;;;;3999;Associação Privada;19771118;9312300;Clubes sociais, esportivos e similares;;RUA;MAL MALET;712;FUNDOS;CENTRO;79200000;MS;9021;;;;;;;;;;16;0;0,00;05;
03875176000185;03875176;1;ASSOCIACAO ATLETICA BANCO DO BRASIL ARAGUATINS GOIAS;AABB ARAGUATINS GOIAS;02;20051103;00;;;;3999;Associação Privada;19871230;9312300;Clubes sociais, esportivos e similares;;RUA;NERO MACEDO;S/N;;ZONA RURAL;77950000;TO;9243;63;34741297;;;;;;;;16;0;0,00;05;
03878224000199;03878224;1;ASSOCIACAO CULTURAL E RECREATIVA ORQUESTRA N 1;;04;20181122;63;;;;3999;Associação Privada;20000613;9312300;Clubes sociais, esportivos e similares;;RUA;CASTRO ALVES;300;;VILA NOVA;99470000;RS;8755;54;3323143;;;54;3320000;graff@st.com.br;;;16;0;0,00;05;
03890331000132;03890331;1;SPORT CLUB MARKEZINE MAIA EIRELI;ESPORTE CLUBE MARQUEZINE MAIA;02;20020511;00;;;;2305;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);20000614;9312300;Clubes sociais, esportivos e similares;5611204;RUA;POCOS DE CALDAS;696;;JARDIM GRAMACHO;25050470;RJ;5833;021;6793006;;;021;6793006;;;;65;96000;96000,00;01;
03894751000197;03894751;1;FINAC-FACULDADES INTEGRADAS NACIONAL LTDA;F I N A C;04;20161207;63;;;;2240;Sociedade Simples Limitada;20000627;8531700;Educação superior - graduação;;AVENIDA;VITORIA;3069;ANDAR 2 E 3               EDIF  INDEPENDENCIA;GURIGICA;29046020;ES;5705;;;;;;;;;;49;0;0,00;05;
03894751000278;03894751;2;FINAC-FACULDADES INTEGRADAS NACIONAL LTDA;F I N A C;08;20040705;01;;;;2240;Sociedade Simples Limitada;20000627;8531700;Educação superior - graduação;;AVENIDA;: SATURNINO RANGEL MAURO I;1.401;;PONTAL DE CAMBURI;29060770;ES;5705;;;;;;;;;;49;0;0,00;05;
03894751000359;03894751;2;FINAC-FACULDADES INTEGRADAS NACIONAL LTDA;F I N A C;04;20161207;63;;;;2240;Sociedade Simples Limitada;20000627;8531700;Educação superior - graduação;;RUA;FORTUNATO RAMOS;512;;PRAIA DO CANTO;29055290;ES;5705;;;;;;;;;;49;0;0,00;05;
03900594000185;03900594;1;ASSOCIACAO ATLETICA BANCO DO BRASIL;AABB;02;19980728;00;;;;3999;Associação Privada;19780411;9312300;Clubes sociais, esportivos e similares;;RUA;AMAZONAS;SN;;SEDE;79730000;MS;9079;;;;;;;;;;16;0;0,00;05;
03906095000103;03906095;1;ASSOCIACAO DOS FUNCIONARIOS DA COCAL;AFC;02;20051103;00;;;;3999;Associação Privada;20000606;9312300;Clubes sociais, esportivos e similares;9313100,4781400,4761003,4759899,4729699,4617600,4763602;AVENIDA;BRASIL;1813;;VILA ATHAIDE;19700000;SP;6811;18;33622539;;;18;33611280;ESPECIALCARD@AFCOCAL.COM.BR;;;16;0;0,00;05;
03908316000174;03908316;1;ASSOCIACAO ATLETICA BANCO DO BRASIL;AABB;02;19990801;00;;;;3999;Associação Privada;19780713;9312300;Clubes sociais, esportivos e similares;;RUA;PORTO ALEGRE;950;;UNIVERSITARIO;79980000;MS;9179;67;34531010;;;;;;;;16;0;0,00;05;
03914445000175;03914445;1;FAVELA SURF CLUBE;;04;20190328;63;;;;3999;Associação Privada;20000614;9312300;Clubes sociais, esportivos e similares;;RUA;SAINT ROMAN 200 RUA CUSTODIO MESQUIT;50;A MORRO DO CANTAGALO;IPANEMA;22071060;RJ;6001;;;;;;;;;;16;0;0,00;05;
03917549000133;03917549;1;CLUBE BALNEARIO PEIXINHO;;02;20210128;00;;;;3999;Associação Privada;19780606;9312300;Clubes sociais, esportivos e similares;;TRAVESSA;IPIRANGA;SN;;CENTRO;78600000;MT;9035;;;;;;;;;;16;0;0,00;05;
03917655000117;03917655;1;BARRA DO GARCAS FUTEBOL CLUBE;BARRA DO GARCAS FUTEBOL CLUBE;08;20150209;73;;;;3999;Associação Privada;19780622;9312300;Clubes sociais, esportivos e similares;;RUA;WALDIR RABELO;S/N;;CENTRO;78600000;MT;9035;;;;;;;;;;16;0;0,00;05;
03919980000119;03919980;1;FEDERACAO HIPICA DA BAHIA;;02;20190226;00;;;;3999;Associação Privada;19921112;9312300;Clubes sociais, esportivos e similares;;AVENIDA;LUIZ VIANA FILHO;S/N;PQ. DE EXPOSICOES;PARALELA;41730101;BA;3849;071;2418147;;;;;;;;16;0;0,00;05;
03924324000104;03924324;1;O. D. PASCHOA JUNIOR;SPARTA TREINAMENTOS TATICOS, DEFENSIVOS E DESPORTIVOS;02;20000703;00;;;;2135;Empresário (Individual);20000703;9312300;Clubes sociais, esportivos e similares;8591100;ALAMEDA;DAS CARAMBOLEIRAS;249;;PARQUE VALINHOS;13274703;SP;7225;19;33426440;;;;;OSMAR.DELLA.PASCHOA.JR@GMAIL.COM;;;50;0;0,00;01;
03938297000129;03938297;1;SINOP FUTEBOL CLUBE;SINOP CLUBE;02;20210413;00;;;;3999;Associação Privada;19781108;9312300;Clubes sociais, esportivos e similares;;ESTADIO;MASSAMI URIU;S/N;;SETOR INDUSTRIAL SUL;78559899;MT;8985;66;99851827;66;99853417;;;;;;16;0;0,00;05;
03938347000178;03938347;1;CLUBE MONTE LIBANO DE CUIABA;;02;20200126;00;;;;3999;Associação Privada;19781109;9312300;Clubes sociais, esportivos e similares;;AVENIDA;REPUBLICA DO LIBANO;S/N;KM    02;SENHOR DOS PASSOS;78048200;MT;9067;65;30234677;;;;;atendimento@adeconmt.com.br;;;16;0;0,00;05;
03951688000183;03951688;1;TANGARA TENIS CLUB;TANGARA TENIS CLUB;02;20190105;00;;;;3999;Associação Privada;19790131;9312300;Clubes sociais, esportivos e similares;;RUA;BENEDITO PEREIRA DE OLIVEIRA;1500 W;;JARDIM TANGARA I;78300000;MT;9185;65;33261354;;;;;;;;16;0;0,00;05;
